datetime,arduino_millis,voltage
2026-06-23T13:14:45.349768,7459,195
2026-06-23T13:14:45.349861,67460,196
2026-06-23T13:14:45.349906,67461,196
2026-06-23T13:14:45.349955,67462,195
2026-06-23T13:14:45.349994,67463,195
2026-06-23T13:14:45.350030,67464,194
2026-06-23T13:14:45.350066,67465,193
2026-06-23T13:14:45.350102,67466,192
2026-06-23T13:14:45.350137,67467,192
2026-06-23T13:14:45.350172,67468,191
2026-06-23T13:14:45.350209,67469,191
2026-06-23T13:14:45.360152,67470,191
2026-06-23T13:14:45.360218,67471,192
2026-06-23T13:14:45.360306,67472,192
2026-06-23T13:14:45.360358,67473,193
2026-06-23T13:14:45.360397,67473,194
2026-06-23T13:14:45.360433,67474,194
2026-06-23T13:14:45.360468,67475,195
2026-06-23T13:14:45.360503,67476,195
2026-06-23T13:14:45.360537,67477,196
2026-06-23T13:14:45.360571,67478,196
2026-06-23T13:14:45.370544,67479,195
2026-06-23T13:14:45.370615,67480,194
2026-06-23T13:14:45.370658,67481,193
2026-06-23T13:14:45.370697,67482,193
2026-06-23T13:14:45.370734,67483,192
2026-06-23T13:14:45.370772,67484,191
2026-06-23T13:14:45.370807,67485,191
2026-06-23T13:14:45.370841,67486,191
2026-06-23T13:14:45.370873,67487,192
2026-06-23T13:14:45.370906,67488,192
2026-06-23T13:14:45.370939,67489,193
2026-06-23T13:14:45.380969,67490,193
2026-06-23T13:14:45.381018,67491,194
2026-06-23T13:14:45.381067,67492,195
2026-06-23T13:14:45.381105,67493,196
2026-06-23T13:14:45.381142,67494,196
2026-06-23T13:14:45.381178,67494,196
2026-06-23T13:14:45.381216,67495,195
2026-06-23T13:14:45.381253,67496,195
2026-06-23T13:14:45.381288,67497,194
2026-06-23T13:14:45.381325,67498,193
2026-06-23T13:14:45.381361,67499,192
2026-06-23T13:14:45.391454,67500,192
2026-06-23T13:14:45.391531,67501,191
2026-06-23T13:14:45.391575,67502,191
2026-06-23T13:14:45.391614,67503,191
2026-06-23T13:14:45.391653,67504,192
2026-06-23T13:14:45.391690,67505,192
2026-06-23T13:14:45.391727,67506,193
2026-06-23T13:14:45.391762,67507,194
2026-06-23T13:14:45.391799,67508,194
2026-06-23T13:14:45.391834,67509,195
2026-06-23T13:14:45.391870,67510,196
2026-06-23T13:14:45.401959,67511,196
2026-06-23T13:14:45.402004,67512,195
2026-06-23T13:14:45.402042,67513,195
2026-06-23T13:14:45.402079,67514,194
2026-06-23T13:14:45.402115,67515,193
2026-06-23T13:14:45.402152,67516,192
2026-06-23T13:14:45.402188,67516,192
2026-06-23T13:14:45.402224,67517,191
2026-06-23T13:14:45.402262,67518,191
2026-06-23T13:14:45.402298,67519,191
2026-06-23T13:14:45.402335,67520,191
2026-06-23T13:14:45.412346,67521,192
2026-06-23T13:14:45.412417,67522,193
2026-06-23T13:14:45.412455,67523,194
2026-06-23T13:14:45.412492,67524,194
2026-06-23T13:14:45.412528,67525,195
2026-06-23T13:14:45.412575,67526,196
2026-06-23T13:14:45.412620,67527,196
2026-06-23T13:14:45.412656,67528,196
2026-06-23T13:14:45.412691,67529,195
2026-06-23T13:14:45.412726,67530,195
2026-06-23T13:14:45.412761,67531,194
2026-06-23T13:14:45.422861,67532,193
2026-06-23T13:14:45.422944,67533,192
2026-06-23T13:14:45.422989,67534,191
2026-06-23T13:14:45.423031,67535,191
2026-06-23T13:14:45.423073,67536,191
2026-06-23T13:14:45.423113,67537,191
2026-06-23T13:14:45.423152,67537,192
2026-06-23T13:14:45.423191,67538,193
2026-06-23T13:14:45.423231,67539,193
2026-06-23T13:14:45.423279,67540,194
2026-06-23T13:14:45.423319,67541,194
2026-06-23T13:14:45.433312,67542,195
2026-06-23T13:14:45.433359,67543,195
2026-06-23T13:14:45.433418,67544,196
2026-06-23T13:14:45.433460,67545,195
2026-06-23T13:14:45.433499,67546,195
2026-06-23T13:14:45.433540,67547,194
2026-06-23T13:14:45.433580,67548,193
