datetime,arduino_millis,voltage
2026-06-23T13:23:49.331724,,34
2026-06-23T13:23:49.331833,610397,34
2026-06-23T13:23:49.331877,610398,34
2026-06-23T13:23:49.331961,610399,34
2026-06-23T13:23:49.332012,610400,34
2026-06-23T13:23:49.332053,610401,34
2026-06-23T13:23:49.332089,610402,34
2026-06-23T13:23:49.332125,610403,34
2026-06-23T13:23:49.332160,610404,33
2026-06-23T13:23:49.332194,610405,33
2026-06-23T13:23:49.332227,610406,33
2026-06-23T13:23:49.342149,610407,33
2026-06-23T13:23:49.342194,610408,33
2026-06-23T13:23:49.342254,610409,33
2026-06-23T13:23:49.342296,610410,33
2026-06-23T13:23:49.342335,610411,33
2026-06-23T13:23:49.342372,610412,33
2026-06-23T13:23:49.342408,610413,33
2026-06-23T13:23:49.342445,610414,33
2026-06-23T13:23:49.342484,610414,33
2026-06-23T13:23:49.342523,610415,33
2026-06-23T13:23:49.342560,610416,33
2026-06-23T13:23:49.352593,610417,33
2026-06-23T13:23:49.352665,610418,33
2026-06-23T13:23:49.352706,610419,33
2026-06-23T13:23:49.352745,610420,33
2026-06-23T13:23:49.352783,610421,33
2026-06-23T13:23:49.352820,610422,33
2026-06-23T13:23:49.352857,610423,33
2026-06-23T13:23:49.352894,610424,33
2026-06-23T13:23:49.352930,610425,32
2026-06-23T13:23:49.352967,610426,32
2026-06-23T13:23:49.353003,610427,32
2026-06-23T13:23:49.363164,610428,32
2026-06-23T13:23:49.363209,610429,32
2026-06-23T13:23:49.363248,610430,32
2026-06-23T13:23:49.363285,610431,32
2026-06-23T13:23:49.363322,610432,32
2026-06-23T13:23:49.363358,610433,32
2026-06-23T13:23:49.363395,610434,32
2026-06-23T13:23:49.363431,610435,32
2026-06-23T13:23:49.363468,610435,31
2026-06-23T13:23:49.363504,610436,32
2026-06-23T13:23:49.363540,610437,32
2026-06-23T13:23:49.373431,610438,32
2026-06-23T13:23:49.373497,610439,32
2026-06-23T13:23:49.373538,610440,32
2026-06-23T13:23:49.373577,610441,31
2026-06-23T13:23:49.373615,610442,31
2026-06-23T13:23:49.373652,610443,32
2026-06-23T13:23:49.373689,610444,31
2026-06-23T13:23:49.373743,610445,26
2026-06-23T13:23:49.373789,610446,32
2026-06-23T13:23:49.373826,610447,32
2026-06-23T13:23:49.373862,610448,31
2026-06-23T13:23:49.384012,610449,32
2026-06-23T13:23:49.384075,610450,32
2026-06-23T13:23:49.384138,610451,32
2026-06-23T13:23:49.384182,610452,32
2026-06-23T13:23:49.384221,610453,31
2026-06-23T13:23:49.384258,610454,31
2026-06-23T13:23:49.384295,610455,31
2026-06-23T13:23:49.384331,610456,32
2026-06-23T13:23:49.384369,610456,31
2026-06-23T13:23:49.384405,610457,32
2026-06-23T13:23:49.384441,610458,32
2026-06-23T13:23:49.394418,610459,32
2026-06-23T13:23:49.394467,610460,31
2026-06-23T13:23:49.394532,610461,32
2026-06-23T13:23:49.394578,610462,32
2026-06-23T13:23:49.394622,610463,31
2026-06-23T13:23:49.394662,610464,32
2026-06-23T13:23:49.394705,610465,32
2026-06-23T13:23:49.394748,610466,32
2026-06-23T13:23:49.394791,610467,32
2026-06-23T13:23:49.394832,610468,32
2026-06-23T13:23:49.404783,610469,32
2026-06-23T13:23:49.404858,610470,27
2026-06-23T13:23:49.404906,610471,32
2026-06-23T13:23:49.404950,610472,32
2026-06-23T13:23:49.404993,610473,32
2026-06-23T13:23:49.405037,610474,32
2026-06-23T13:23:49.405078,610475,32
2026-06-23T13:23:49.405119,610476,32
2026-06-23T13:23:49.405160,610477,32
2026-06-23T13:23:49.405200,610478,32
2026-06-23T13:23:49.405241,610478,32
2026-06-23T13:23:49.415228,610479,32
2026-06-23T13:23:49.415328,610480,32
2026-06-23T13:23:49.415393,610481,31
2026-06-23T13:23:49.415441,610482,31
2026-06-23T13:23:49.415485,610483,31
2026-06-23T13:23:49.415529,610484,31
2026-06-23T13:23:49.415572,610485,31
2026-06-23T13:23:49.415613,610486,31
2026-06-23T13:23:49.415655,610487,31
2026-06-23T13:23:49.415696,610488,31
2026-06-23T13:23:49.415737,610489,31
2026-06-23T13:23:49.425720,610490,31
2026-06-23T13:23:49.425779,610491,32
2026-06-23T13:23:49.425854,610492,32
2026-06-23T13:23:49.425908,610493,32
2026-06-23T13:23:49.425955,610494,32
2026-06-23T13:23:49.426002,610495,32
2026-06-23T13:23:49.426049,610496,31
2026-06-23T13:23:49.426096,610497,32
2026-06-23T13:23:49.426142,610498,32
2026-06-23T13:23:49.426187,610499,31
2026-06-23T13:23:49.426253,610499,30
2026-06-23T13:23:49.436182,610500,31
2026-06-23T13:23:49.436253,610501,31
2026-06-23T13:23:49.436301,610502,31
2026-06-23T13:23:49.436346,610503,31
2026-06-23T13:23:49.436392,610504,31
2026-06-23T13:23:49.436437,610505,31
2026-06-23T13:23:49.436482,610506,31
2026-06-23T13:23:49.436526,610507,31
2026-06-23T13:23:49.436570,610508,31
2026-06-23T13:23:49.436614,610509,31
2026-06-23T13:23:49.436675,610510,31
2026-06-23T13:23:49.446634,610511,31
2026-06-23T13:23:49.446727,610512,31
2026-06-23T13:23:49.446783,610513,31
2026-06-23T13:23:49.446831,610514,31
2026-06-23T13:23:49.446879,610515,31
2026-06-23T13:23:49.446925,610516,32
2026-06-23T13:23:49.446971,610517,32
2026-06-23T13:23:49.447016,610518,33
2026-06-23T13:23:49.447060,610519,33
2026-06-23T13:23:49.447105,610520,33
2026-06-23T13:23:49.447149,610520,33
2026-06-23T13:23:49.457016,610521,33
2026-06-23T13:23:49.457108,610522,32
2026-06-23T13:23:49.457152,610523,32
2026-06-23T13:23:49.457194,610524,32
2026-06-23T13:23:49.457235,610525,35
2026-06-23T13:23:49.457274,610526,32
2026-06-23T13:23:49.457314,610527,32
2026-06-23T13:23:49.457353,610528,32
2026-06-23T13:23:49.457392,610529,32
2026-06-23T13:23:49.457431,610530,32
2026-06-23T13:23:49.457470,610531,32
2026-06-23T13:23:49.467426,610532,32
2026-06-23T13:23:49.467498,610533,32
2026-06-23T13:23:49.467618,610534,32
2026-06-23T13:23:49.467665,610535,32
2026-06-23T13:23:49.467719,610536,32
2026-06-23T13:23:49.467763,610537,32
2026-06-23T13:23:49.467808,610538,32
2026-06-23T13:23:49.467846,610539,32
2026-06-23T13:23:49.467880,610540,32
2026-06-23T13:23:49.467924,610541,32
2026-06-23T13:23:49.467961,610542,32
2026-06-23T13:23:49.477900,610542,33
2026-06-23T13:23:49.477962,610543,32
2026-06-23T13:23:49.477995,610544,32
2026-06-23T13:23:49.478049,610545,39
2026-06-23T13:23:49.478095,610546,32
2026-06-23T13:23:49.478128,610547,32
2026-06-23T13:23:49.478160,610548,32
2026-06-23T13:23:49.478191,610549,32
2026-06-23T13:23:49.478222,610550,32
2026-06-23T13:23:49.478252,610551,33
2026-06-23T13:23:49.478282,610552,33
2026-06-23T13:23:49.488307,610553,33
2026-06-23T13:23:49.488366,610554,33
2026-06-23T13:23:49.488397,610555,33
2026-06-23T13:23:49.488428,610556,33
2026-06-23T13:23:49.488457,610557,33
2026-06-23T13:23:49.488485,610558,33
2026-06-23T13:23:49.488526,610559,32
2026-06-23T13:23:49.488572,610560,32
2026-06-23T13:23:49.488612,610561,32
2026-06-23T13:23:49.488644,610562,32
2026-06-23T13:23:49.488675,610563,33
2026-06-23T13:23:49.498725,610563,33
2026-06-23T13:23:49.498778,610564,33
2026-06-23T13:23:49.498812,610565,33
2026-06-23T13:23:49.498842,610566,32
2026-06-23T13:23:49.498876,610567,32
2026-06-23T13:23:49.498906,610568,32
2026-06-23T13:23:49.498936,610569,32
2026-06-23T13:23:49.498966,610570,32
2026-06-23T13:23:49.498995,610571,32
2026-06-23T13:23:49.499025,610572,32
2026-06-23T13:23:49.499056,610573,32
2026-06-23T13:23:49.509189,610574,31
2026-06-23T13:23:49.509249,610575,31
2026-06-23T13:23:49.509283,610576,31
2026-06-23T13:23:49.509314,610577,32
2026-06-23T13:23:49.509344,610578,32
2026-06-23T13:23:49.509374,610579,32
2026-06-23T13:23:49.509406,610580,32
2026-06-23T13:23:49.509436,610581,32
2026-06-23T13:23:49.509466,610582,32
2026-06-23T13:23:49.509496,610583,32
2026-06-23T13:23:49.519618,610584,30
2026-06-23T13:23:49.519698,610585,32
2026-06-23T13:23:49.519735,610585,31
2026-06-23T13:23:49.519802,610586,32
2026-06-23T13:23:49.519843,610587,32
2026-06-23T13:23:49.519878,610588,32
2026-06-23T13:23:49.519912,610589,31
2026-06-23T13:23:49.519944,610590,31
2026-06-23T13:23:49.519988,610591,31
2026-06-23T13:23:49.520022,610592,31
2026-06-23T13:23:49.520054,610593,31
2026-06-23T13:23:49.530100,610594,31
2026-06-23T13:23:49.530173,610595,31
2026-06-23T13:23:49.530210,610596,31
2026-06-23T13:23:49.530248,610597,31
2026-06-23T13:23:49.530284,610598,31
2026-06-23T13:23:49.530320,610599,31
2026-06-23T13:23:49.530357,610600,31
2026-06-23T13:23:49.530392,610601,31
2026-06-23T13:23:49.530440,610602,32
2026-06-23T13:23:49.530475,610603,32
2026-06-23T13:23:49.530511,610604,33
2026-06-23T13:23:49.540518,610605,33
2026-06-23T13:23:49.540579,610606,32
2026-06-23T13:23:49.540609,610606,32
2026-06-23T13:23:49.540639,610607,33
2026-06-23T13:23:49.540668,610608,32
2026-06-23T13:23:49.540697,610609,32
2026-06-23T13:23:49.540726,610610,32
2026-06-23T13:23:49.540755,610611,32
2026-06-23T13:23:49.540783,610612,33
2026-06-23T13:23:49.540811,610613,33
2026-06-23T13:23:49.540839,610614,32
2026-06-23T13:23:49.550988,610615,33
2026-06-23T13:23:49.551061,610616,33
2026-06-23T13:23:49.551095,610617,33
2026-06-23T13:23:49.551135,610618,33
2026-06-23T13:23:49.551167,610619,33
2026-06-23T13:23:49.551197,610620,34
2026-06-23T13:23:49.551228,610621,34
2026-06-23T13:23:49.551258,610622,34
2026-06-23T13:23:49.551288,610623,33
2026-06-23T13:23:49.551319,610624,33
2026-06-23T13:23:49.551349,610625,33
2026-06-23T13:23:49.561392,610626,33
2026-06-23T13:23:49.561445,610627,33
2026-06-23T13:23:49.561523,610627,33
2026-06-23T13:23:49.561558,610628,33
2026-06-23T13:23:49.561591,610629,33
2026-06-23T13:23:49.561625,610630,33
2026-06-23T13:23:49.561658,610631,33
2026-06-23T13:23:49.561693,610632,33
2026-06-23T13:23:49.561726,610633,33
2026-06-23T13:23:49.561759,610634,33
2026-06-23T13:23:49.561791,610635,33
2026-06-23T13:23:49.571858,610636,33
2026-06-23T13:23:49.571919,610637,32
2026-06-23T13:23:49.571960,610638,32
2026-06-23T13:23:49.571994,610639,32
2026-06-23T13:23:49.572026,610640,32
2026-06-23T13:23:49.572058,610641,33
2026-06-23T13:23:49.572091,610642,32
2026-06-23T13:23:49.572123,610643,32
2026-06-23T13:23:49.572155,610644,32
2026-06-23T13:23:49.572187,610645,32
2026-06-23T13:23:49.572220,610646,32
2026-06-23T13:23:49.582345,610647,32
2026-06-23T13:23:49.582397,610648,32
2026-06-23T13:23:49.582431,610649,32
2026-06-23T13:23:49.582471,610649,32
2026-06-23T13:23:49.582522,610650,32
2026-06-23T13:23:49.582567,610651,32
2026-06-23T13:23:49.582602,610652,32
2026-06-23T13:23:49.582636,610653,31
2026-06-23T13:23:49.582671,610654,31
2026-06-23T13:23:49.582704,610655,31
2026-06-23T13:23:49.582737,610656,31
2026-06-23T13:23:49.592717,610657,31
2026-06-23T13:23:49.592766,610658,31
2026-06-23T13:23:49.592827,610659,31
2026-06-23T13:23:49.592867,610660,31
2026-06-23T13:23:49.592906,610661,31
2026-06-23T13:23:49.592942,610662,31
2026-06-23T13:23:49.592978,610663,31
2026-06-23T13:23:49.593013,610664,30
2026-06-23T13:23:49.593048,610665,31
2026-06-23T13:23:49.593084,610666,31
2026-06-23T13:23:49.593119,610667,31
2026-06-23T13:23:49.603157,610668,31
2026-06-23T13:23:49.603217,610669,31
2026-06-23T13:23:49.603277,610670,31
2026-06-23T13:23:49.603321,610670,30
2026-06-23T13:23:49.603361,610671,30
2026-06-23T13:23:49.603397,610672,30
2026-06-23T13:23:49.603433,610673,30
2026-06-23T13:23:49.603489,610674,30
2026-06-23T13:23:49.603541,610675,30
