datetime,arduino_millis,voltage
2026-06-23T13:23:15.899491,12,55
2026-06-23T13:23:15.899639,577026,59
2026-06-23T13:23:15.899681,577027,59
2026-06-23T13:23:15.899730,577028,59
2026-06-23T13:23:15.899767,577029,59
2026-06-23T13:23:15.899802,577030,58
2026-06-23T13:23:15.899836,577031,58
2026-06-23T13:23:15.899870,577032,57
2026-06-23T13:23:15.899903,577032,57
2026-06-23T13:23:15.899936,577033,57
2026-06-23T13:23:15.909870,577034,56
2026-06-23T13:23:15.909912,577035,55
2026-06-23T13:23:15.909991,577036,55
2026-06-23T13:23:15.910046,577037,54
2026-06-23T13:23:15.910088,577038,54
2026-06-23T13:23:15.910128,577039,54
2026-06-23T13:23:15.910165,577040,54
2026-06-23T13:23:15.910202,577041,53
2026-06-23T13:23:15.910239,577042,53
2026-06-23T13:23:15.910275,577043,51
2026-06-23T13:23:15.910311,577044,52
2026-06-23T13:23:15.920335,577045,52
2026-06-23T13:23:15.920396,577046,52
2026-06-23T13:23:15.920436,577047,53
2026-06-23T13:23:15.920473,577048,53
2026-06-23T13:23:15.920511,577049,53
2026-06-23T13:23:15.920547,577050,52
2026-06-23T13:23:15.920584,577051,52
2026-06-23T13:23:15.920620,577052,51
2026-06-23T13:23:15.920656,577053,51
2026-06-23T13:23:15.920693,577053,51
2026-06-23T13:23:15.920728,577054,50
2026-06-23T13:23:15.930787,577055,50
2026-06-23T13:23:15.930835,577056,50
2026-06-23T13:23:15.930873,577057,49
2026-06-23T13:23:15.930909,577058,49
2026-06-23T13:23:15.930946,577059,49
2026-06-23T13:23:15.930985,577060,49
2026-06-23T13:23:15.931021,577061,49
2026-06-23T13:23:15.931057,577062,48
2026-06-23T13:23:15.931093,577063,48
2026-06-23T13:23:15.931128,577064,48
2026-06-23T13:23:15.931164,577065,47
2026-06-23T13:23:15.941251,577066,47
2026-06-23T13:23:15.941306,577067,48
2026-06-23T13:23:15.941347,577068,46
2026-06-23T13:23:15.941384,577069,46
2026-06-23T13:23:15.941421,577070,45
2026-06-23T13:23:15.941458,577071,45
2026-06-23T13:23:15.941494,577072,43
2026-06-23T13:23:15.941531,577073,44
2026-06-23T13:23:15.941567,577074,44
2026-06-23T13:23:15.941602,577074,44
2026-06-23T13:23:15.941638,577075,44
2026-06-23T13:23:15.951716,577076,45
2026-06-23T13:23:15.951781,577077,45
2026-06-23T13:23:15.951885,577078,45
2026-06-23T13:23:15.951930,577079,45
2026-06-23T13:23:15.951972,577080,46
2026-06-23T13:23:15.952013,577081,45
2026-06-23T13:23:15.952054,577082,46
2026-06-23T13:23:15.952094,577083,44
2026-06-23T13:23:15.952135,577084,45
2026-06-23T13:23:15.952175,577085,44
2026-06-23T13:23:15.952216,577086,43
2026-06-23T13:23:15.962139,577087,43
2026-06-23T13:23:15.962192,577088,43
2026-06-23T13:23:15.962262,577089,42
