datetime,arduino_millis,voltage
2026-06-23T13:23:30.778957,91877,44
2026-06-23T13:23:30.779080,591878,44
2026-06-23T13:23:30.779124,591878,43
2026-06-23T13:23:30.779161,591879,43
2026-06-23T13:23:30.779217,591880,43
2026-06-23T13:23:30.779254,591881,43
2026-06-23T13:23:30.779289,591882,42
2026-06-23T13:23:30.779323,591883,42
2026-06-23T13:23:30.779358,591884,42
2026-06-23T13:23:30.779392,591885,41
2026-06-23T13:23:30.779425,591886,41
2026-06-23T13:23:30.789270,591887,41
2026-06-23T13:23:30.789328,591888,40
2026-06-23T13:23:30.789364,591889,40
2026-06-23T13:23:30.789446,591890,40
2026-06-23T13:23:30.789498,591891,40
2026-06-23T13:23:30.789537,591892,40
2026-06-23T13:23:30.789573,591893,40
2026-06-23T13:23:30.789609,591894,40
2026-06-23T13:23:30.789643,591895,40
2026-06-23T13:23:30.789677,591896,40
2026-06-23T13:23:30.799770,591897,40
2026-06-23T13:23:30.799883,591898,40
2026-06-23T13:23:30.799921,591899,41
2026-06-23T13:23:30.799987,591899,40
2026-06-23T13:23:30.800039,591900,40
2026-06-23T13:23:30.800078,591901,40
2026-06-23T13:23:30.800114,591902,40
2026-06-23T13:23:30.800149,591903,40
2026-06-23T13:23:30.800184,591904,40
2026-06-23T13:23:30.800217,591905,40
2026-06-23T13:23:30.800251,591906,39
2026-06-23T13:23:30.810141,591907,39
2026-06-23T13:23:30.810204,591908,39
2026-06-23T13:23:30.810265,591909,39
2026-06-23T13:23:30.810306,591910,39
2026-06-23T13:23:30.810343,591911,39
2026-06-23T13:23:30.810380,591912,39
2026-06-23T13:23:30.810416,591913,39
2026-06-23T13:23:30.810453,591914,39
2026-06-23T13:23:30.810489,591915,39
2026-06-23T13:23:30.810525,591916,38
2026-06-23T13:23:30.810561,591917,38
2026-06-23T13:23:30.820561,591918,38
2026-06-23T13:23:30.820627,591919,38
2026-06-23T13:23:30.820711,591920,38
2026-06-23T13:23:30.820752,591920,37
2026-06-23T13:23:30.820790,591921,37
2026-06-23T13:23:30.820827,591922,37
2026-06-23T13:23:30.820864,591923,37
2026-06-23T13:23:30.820901,591924,37
2026-06-23T13:23:30.820937,591925,37
2026-06-23T13:23:30.820974,591926,37
2026-06-23T13:23:30.821011,591927,37
2026-06-23T13:23:30.831003,591928,37
2026-06-23T13:23:30.831058,591929,36
2026-06-23T13:23:30.831102,591930,36
2026-06-23T13:23:30.831145,591931,36
2026-06-23T13:23:30.831187,591932,36
2026-06-23T13:23:30.831228,591933,36
2026-06-23T13:23:30.831269,591934,36
2026-06-23T13:23:30.831310,591935,36
2026-06-23T13:23:30.831351,591936,37
2026-06-23T13:23:30.831392,591937,38
2026-06-23T13:23:30.831432,591938,39
2026-06-23T13:23:30.841467,591939,39
2026-06-23T13:23:30.841518,591940,39
2026-06-23T13:23:30.841560,591941,38
2026-06-23T13:23:30.841601,591942,38
2026-06-23T13:23:30.841641,591942,38
2026-06-23T13:23:30.841682,591943,38
2026-06-23T13:23:30.841722,591944,38
2026-06-23T13:23:30.841762,591945,38
2026-06-23T13:23:30.841803,591946,38
2026-06-23T13:23:30.841844,591947,37
2026-06-23T13:23:30.841884,591948,38
2026-06-23T13:23:30.851973,591949,38
2026-06-23T13:23:30.852031,591950,39
2026-06-23T13:23:30.852073,591951,39
2026-06-23T13:23:30.852114,591952,39
2026-06-23T13:23:30.852156,591953,39
2026-06-23T13:23:30.852196,591954,38
2026-06-23T13:23:30.852236,591955,39
2026-06-23T13:23:30.852277,591956,39
2026-06-23T13:23:30.852317,591957,37
2026-06-23T13:23:30.852357,591958,38
2026-06-23T13:23:30.852397,591959,38
2026-06-23T13:23:30.862364,591960,38
2026-06-23T13:23:30.862412,591961,38
2026-06-23T13:23:30.862455,591962,38
2026-06-23T13:23:30.862495,591963,38
2026-06-23T13:23:30.862536,591963,38
2026-06-23T13:23:30.862578,591964,38
2026-06-23T13:23:30.862618,591965,39
2026-06-23T13:23:30.862658,591966,39
2026-06-23T13:23:30.862698,591967,39
2026-06-23T13:23:30.862739,591968,39
2026-06-23T13:23:30.862779,591969,38
2026-06-23T13:23:30.872807,591970,38
2026-06-23T13:23:30.872868,591971,38
2026-06-23T13:23:30.872910,591972,38
2026-06-23T13:23:30.872951,591973,38
2026-06-23T13:23:30.872992,591974,35
2026-06-23T13:23:30.873033,591975,39
2026-06-23T13:23:30.873073,591976,39
2026-06-23T13:23:30.873114,591977,38
2026-06-23T13:23:30.873154,591978,38
2026-06-23T13:23:30.873206,591979,38
2026-06-23T13:23:30.873246,591980,39
2026-06-23T13:23:30.883370,591981,39
2026-06-23T13:23:30.883447,591982,40
2026-06-23T13:23:30.883492,591983,41
2026-06-23T13:23:30.883537,591984,42
2026-06-23T13:23:30.883582,591985,43
2026-06-23T13:23:30.883626,591985,43
2026-06-23T13:23:30.883677,591986,43
2026-06-23T13:23:30.883721,591987,47
2026-06-23T13:23:30.883765,591988,43
2026-06-23T13:23:30.883808,591989,43
2026-06-23T13:23:30.883852,591990,43
2026-06-23T13:23:30.893690,591991,42
2026-06-23T13:23:30.893765,591992,42
2026-06-23T13:23:30.893808,591993,42
2026-06-23T13:23:30.893850,591994,41
2026-06-23T13:23:30.893890,591995,41
2026-06-23T13:23:30.893930,591996,41
2026-06-23T13:23:30.893969,591997,41
2026-06-23T13:23:30.894009,591998,41
2026-06-23T13:23:30.894049,591999,41
2026-06-23T13:23:30.894089,592000,40
2026-06-23T13:23:30.894129,592001,41
2026-06-23T13:23:30.904109,592002,41
2026-06-23T13:23:30.904178,592003,41
2026-06-23T13:23:30.904219,592004,41
2026-06-23T13:23:30.904260,592005,40
2026-06-23T13:23:30.904300,592006,40
2026-06-23T13:23:30.904339,592006,40
2026-06-23T13:23:30.904379,592007,39
2026-06-23T13:23:30.904418,592008,39
2026-06-23T13:23:30.904457,592009,39
2026-06-23T13:23:30.904496,592010,39
2026-06-23T13:23:30.914511,592011,39
2026-06-23T13:23:30.914584,592012,38
2026-06-23T13:23:30.914622,592013,38
2026-06-23T13:23:30.914657,592014,38
2026-06-23T13:23:30.914692,592015,38
2026-06-23T13:23:30.914726,592016,38
2026-06-23T13:23:30.914761,592017,38
2026-06-23T13:23:30.914795,592018,38
2026-06-23T13:23:30.914829,592019,38
2026-06-23T13:23:30.914863,592020,38
2026-06-23T13:23:30.914898,592021,38
2026-06-23T13:23:30.924938,592022,39
2026-06-23T13:23:30.925010,592023,40
2026-06-23T13:23:30.925082,592024,40
2026-06-23T13:23:30.925151,592025,41
2026-06-23T13:23:30.925193,592026,41
2026-06-23T13:23:30.925227,592027,41
2026-06-23T13:23:30.925347,592027,41
2026-06-23T13:23:30.925391,592028,41
2026-06-23T13:23:30.925433,592029,41
2026-06-23T13:23:30.925493,592030,40
2026-06-23T13:23:30.925526,592031,40
2026-06-23T13:23:30.935384,592032,41
2026-06-23T13:23:30.935445,592033,39
2026-06-23T13:23:30.935477,592034,40
2026-06-23T13:23:30.935507,592035,40
2026-06-23T13:23:30.935535,592036,41
2026-06-23T13:23:30.935564,592037,41
2026-06-23T13:23:30.935592,592038,41
2026-06-23T13:23:30.935621,592039,42
2026-06-23T13:23:30.935649,592040,41
2026-06-23T13:23:30.935677,592041,41
2026-06-23T13:23:30.935705,592042,41
2026-06-23T13:23:30.945821,592043,42
2026-06-23T13:23:30.945884,592044,43
2026-06-23T13:23:30.945917,592045,44
2026-06-23T13:23:30.945948,592046,45
2026-06-23T13:23:30.945979,592047,46
2026-06-23T13:23:30.946010,592048,45
2026-06-23T13:23:30.946041,592049,46
2026-06-23T13:23:30.946073,592049,46
2026-06-23T13:23:30.946104,592050,46
2026-06-23T13:23:30.946134,592051,46
2026-06-23T13:23:30.946164,592052,46
2026-06-23T13:23:30.956251,592053,46
2026-06-23T13:23:30.956314,592054,46
2026-06-23T13:23:30.956348,592055,46
2026-06-23T13:23:30.956380,592056,46
2026-06-23T13:23:30.956411,592057,46
2026-06-23T13:23:30.956442,592058,47
2026-06-23T13:23:30.956472,592059,46
2026-06-23T13:23:30.956502,592060,46
2026-06-23T13:23:30.956533,592061,46
2026-06-23T13:23:30.956563,592062,46
2026-06-23T13:23:30.956593,592063,46
2026-06-23T13:23:30.966713,592064,45
2026-06-23T13:23:30.966783,592065,45
2026-06-23T13:23:30.966816,592066,45
2026-06-23T13:23:30.966847,592067,48
2026-06-23T13:23:30.966878,592068,44
2026-06-23T13:23:30.966909,592069,45
2026-06-23T13:23:30.966939,592070,45
2026-06-23T13:23:30.966969,592070,46
