datetime,arduino_millis,voltage
2026-06-23T13:21:39.076121,480386,45
2026-06-23T13:21:39.076212,480387,45
2026-06-23T13:21:39.076255,480388,44
2026-06-23T13:21:39.076313,480389,44
2026-06-23T13:21:39.076352,480390,43
2026-06-23T13:21:39.076388,480391,44
2026-06-23T13:21:39.076422,480392,44
2026-06-23T13:21:39.076456,480393,44
2026-06-23T13:21:39.076490,480394,44
2026-06-23T13:21:39.076525,480394,45
2026-06-23T13:21:39.086581,480395,43
2026-06-23T13:21:39.086655,480396,43
2026-06-23T13:21:39.086696,480397,43
2026-06-23T13:21:39.086735,480398,43
2026-06-23T13:21:39.086773,480399,43
2026-06-23T13:21:39.086810,480400,42
2026-06-23T13:21:39.086847,480401,42
2026-06-23T13:21:39.086884,480402,42
2026-06-23T13:21:39.086920,480403,42
2026-06-23T13:21:39.086957,480404,42
2026-06-23T13:21:39.086993,480405,42
2026-06-23T13:21:39.097045,480406,42
2026-06-23T13:21:39.097104,480407,41
2026-06-23T13:21:39.097155,480408,41
2026-06-23T13:21:39.097195,480409,41
2026-06-23T13:21:39.097237,480410,41
2026-06-23T13:21:39.097277,480411,40
2026-06-23T13:21:39.097315,480412,40
2026-06-23T13:21:39.097351,480413,40
2026-06-23T13:21:39.097388,480414,40
2026-06-23T13:21:39.097426,480415,40
2026-06-23T13:21:39.097462,480416,40
2026-06-23T13:21:39.107436,480416,40
2026-06-23T13:21:39.107492,480417,40
2026-06-23T13:21:39.107562,480418,39
2026-06-23T13:21:39.107620,480419,39
2026-06-23T13:21:39.107663,480420,39
2026-06-23T13:21:39.107702,480421,39
2026-06-23T13:21:39.107741,480422,39
2026-06-23T13:21:39.107778,480423,39
2026-06-23T13:21:39.107815,480424,38
2026-06-23T13:21:39.107855,480425,38
2026-06-23T13:21:39.107893,480426,38
2026-06-23T13:21:39.117946,480427,38
2026-06-23T13:21:39.118009,480428,38
2026-06-23T13:21:39.118063,480429,38
2026-06-23T13:21:39.118106,480430,38
2026-06-23T13:21:39.118148,480431,38
2026-06-23T13:21:39.118188,480432,37
2026-06-23T13:21:39.118229,480433,37
2026-06-23T13:21:39.118270,480434,37
2026-06-23T13:21:39.118313,480435,37
2026-06-23T13:21:39.118354,480436,37
2026-06-23T13:21:39.118394,480437,37
2026-06-23T13:21:39.128381,480437,37
2026-06-23T13:21:39.128433,480438,35
2026-06-23T13:21:39.128500,480439,37
2026-06-23T13:21:39.128558,480440,36
2026-06-23T13:21:39.128607,480441,36
2026-06-23T13:21:39.128652,480442,36
2026-06-23T13:21:39.128702,480443,36
2026-06-23T13:21:39.128753,480444,36
2026-06-23T13:21:39.128796,480445,36
2026-06-23T13:21:39.128837,480446,36
2026-06-23T13:21:39.128878,480447,35
2026-06-23T13:21:39.138757,480448,36
2026-06-23T13:21:39.138811,480449,36
2026-06-23T13:21:39.138853,480450,36
2026-06-23T13:21:39.138894,480451,36
2026-06-23T13:21:39.138936,480452,36
2026-06-23T13:21:39.138977,480453,36
2026-06-23T13:21:39.139020,480454,36
2026-06-23T13:21:39.139060,480455,36
2026-06-23T13:21:39.139100,480456,36
2026-06-23T13:21:39.139140,480457,36
2026-06-23T13:21:39.139180,480458,36
2026-06-23T13:21:39.149269,480458,36
2026-06-23T13:21:39.149361,480459,36
2026-06-23T13:21:39.149404,480460,35
2026-06-23T13:21:39.149444,480461,35
2026-06-23T13:21:39.149486,480462,35
2026-06-23T13:21:39.149527,480463,35
2026-06-23T13:21:39.149567,480464,35
2026-06-23T13:21:39.149607,480465,35
2026-06-23T13:21:39.149648,480466,35
2026-06-23T13:21:39.149688,480467,35
2026-06-23T13:21:39.149729,480468,35
2026-06-23T13:21:39.159725,480469,35
2026-06-23T13:21:39.159784,480470,35
2026-06-23T13:21:39.159832,480471,35
2026-06-23T13:21:39.159878,480472,35
2026-06-23T13:21:39.159926,480473,35
2026-06-23T13:21:39.159972,480474,35
2026-06-23T13:21:39.160030,480475,35
2026-06-23T13:21:39.160089,480476,35
2026-06-23T13:21:39.160135,480477,35
2026-06-23T13:21:39.160181,480478,35
2026-06-23T13:21:39.160226,480479,34
2026-06-23T13:21:39.170206,480480,34
2026-06-23T13:21:39.170268,480480,34
2026-06-23T13:21:39.170318,480481,35
2026-06-23T13:21:39.170363,480482,35
2026-06-23T13:21:39.170409,480483,31
2026-06-23T13:21:39.170455,480484,35
2026-06-23T13:21:39.170500,480485,34
2026-06-23T13:21:39.170546,480486,35
2026-06-23T13:21:39.170591,480487,34
2026-06-23T13:21:39.170652,480488,35
2026-06-23T13:21:39.180546,480489,35
2026-06-23T13:21:39.180603,480490,35
2026-06-23T13:21:39.180649,480491,35
2026-06-23T13:21:39.180694,480492,35
2026-06-23T13:21:39.180738,480493,35
2026-06-23T13:21:39.180784,480494,35
2026-06-23T13:21:39.180828,480495,35
2026-06-23T13:21:39.180874,480496,35
2026-06-23T13:21:39.180950,480497,35
2026-06-23T13:21:39.180995,480498,34
2026-06-23T13:21:39.181039,480499,34
2026-06-23T13:21:39.191040,480500,35
2026-06-23T13:21:39.191098,480501,35
2026-06-23T13:21:39.191143,480501,35
2026-06-23T13:21:39.191187,480502,35
