datetime,arduino_millis,voltage
2026-06-23T13:18:26.377406,8060,51
2026-06-23T13:18:26.377484,288061,51
2026-06-23T13:18:26.377527,288062,52
2026-06-23T13:18:26.377611,288063,52
2026-06-23T13:18:26.377662,288064,52
2026-06-23T13:18:26.377702,288065,51
2026-06-23T13:18:26.377738,288066,51
2026-06-23T13:18:26.377773,288067,51
2026-06-23T13:18:26.377807,288068,50
2026-06-23T13:18:26.377841,288069,50
2026-06-23T13:18:26.377875,288070,52
2026-06-23T13:18:26.387822,288071,52
2026-06-23T13:18:26.387887,288072,51
2026-06-23T13:18:26.387931,288073,51
2026-06-23T13:18:26.387968,288074,50
2026-06-23T13:18:26.388007,288075,51
2026-06-23T13:18:26.388044,288075,51
2026-06-23T13:18:26.388081,288076,51
2026-06-23T13:18:26.388117,288077,51
2026-06-23T13:18:26.388154,288078,52
2026-06-23T13:18:26.388190,288079,52
2026-06-23T13:18:26.388226,288080,52
2026-06-23T13:18:26.398270,288081,51
2026-06-23T13:18:26.398325,288082,52
2026-06-23T13:18:26.398403,288083,51
2026-06-23T13:18:26.398462,288084,52
2026-06-23T13:18:26.398506,288085,51
2026-06-23T13:18:26.398547,288086,51
2026-06-23T13:18:26.398586,288087,51
2026-06-23T13:18:26.398624,288088,50
2026-06-23T13:18:26.398661,288089,50
2026-06-23T13:18:26.398699,288090,50
2026-06-23T13:18:26.408680,288091,49
2026-06-23T13:18:26.408766,288092,49
2026-06-23T13:18:26.408809,288093,49
2026-06-23T13:18:26.408848,288094,48
2026-06-23T13:18:26.408887,288095,48
2026-06-23T13:18:26.408926,288096,48
2026-06-23T13:18:26.408963,288096,49
2026-06-23T13:18:26.409000,288097,49
2026-06-23T13:18:26.409037,288098,50
2026-06-23T13:18:26.409073,288099,50
2026-06-23T13:18:26.409111,288100,50
2026-06-23T13:18:26.419179,288101,49
2026-06-23T13:18:26.419247,288102,49
2026-06-23T13:18:26.419287,288103,49
2026-06-23T13:18:26.419356,288104,49
2026-06-23T13:18:26.419413,288105,49
2026-06-23T13:18:26.419455,288106,50
2026-06-23T13:18:26.419495,288107,50
2026-06-23T13:18:26.419533,288108,50
2026-06-23T13:18:26.419570,288109,50
2026-06-23T13:18:26.419607,288110,50
2026-06-23T13:18:26.419644,288111,50
2026-06-23T13:18:26.429599,288112,49
2026-06-23T13:18:26.429668,288113,49
2026-06-23T13:18:26.429771,288114,49
2026-06-23T13:18:26.429833,288115,49
2026-06-23T13:18:26.429882,288116,50
2026-06-23T13:18:26.429926,288117,51
2026-06-23T13:18:26.429968,288118,51
2026-06-23T13:18:26.430010,288118,51
2026-06-23T13:18:26.430051,288119,50
2026-06-23T13:18:26.430093,288120,49
2026-06-23T13:18:26.430134,288121,49
2026-06-23T13:18:26.440086,288122,49
2026-06-23T13:18:26.440152,288123,48
2026-06-23T13:18:26.440191,288124,48
2026-06-23T13:18:26.440231,288125,48
2026-06-23T13:18:26.440268,288126,48
2026-06-23T13:18:26.440306,288127,47
2026-06-23T13:18:26.440343,288128,47
2026-06-23T13:18:26.440380,288129,46
2026-06-23T13:18:26.440417,288130,46
2026-06-23T13:18:26.440455,288131,46
2026-06-23T13:18:26.440492,288132,46
2026-06-23T13:18:26.450449,288133,46
2026-06-23T13:18:26.450531,288134,46
2026-06-23T13:18:26.450573,288135,47
2026-06-23T13:18:26.450606,288136,46
2026-06-23T13:18:26.450638,288137,46
2026-06-23T13:18:26.450671,288138,47
2026-06-23T13:18:26.450705,288139,48
2026-06-23T13:18:26.450737,288139,49
2026-06-23T13:18:26.450769,288140,49
2026-06-23T13:18:26.450801,288141,49
2026-06-23T13:18:26.450832,288142,49
2026-06-23T13:18:26.460901,288143,49
2026-06-23T13:18:26.460968,288144,49
2026-06-23T13:18:26.461001,288145,50
2026-06-23T13:18:26.461032,288146,50
2026-06-23T13:18:26.461063,288147,50
2026-06-23T13:18:26.461095,288148,50
2026-06-23T13:18:26.461124,288149,50
2026-06-23T13:18:26.461153,288150,50
2026-06-23T13:18:26.461183,288151,50
2026-06-23T13:18:26.461212,288152,51
2026-06-23T13:18:26.461240,288153,51
2026-06-23T13:18:26.471389,288154,51
2026-06-23T13:18:26.471442,288155,50
2026-06-23T13:18:26.471469,288156,51
2026-06-23T13:18:26.471495,288157,51
2026-06-23T13:18:26.471522,288158,51
2026-06-23T13:18:26.471549,288159,50
2026-06-23T13:18:26.471575,288160,50
2026-06-23T13:18:26.471601,288160,50
2026-06-23T13:18:26.471627,288161,50
2026-06-23T13:18:26.471667,288162,51
2026-06-23T13:18:26.471693,288163,51
2026-06-23T13:18:26.481841,288164,51
2026-06-23T13:18:26.481886,288165,52
2026-06-23T13:18:26.481914,288166,53
2026-06-23T13:18:26.481940,288167,54
2026-06-23T13:18:26.481968,288168,53
2026-06-23T13:18:26.481996,288169,54
2026-06-23T13:18:26.482022,288170,53
2026-06-23T13:18:26.482048,288171,53
2026-06-23T13:18:26.482074,288172,53
2026-06-23T13:18:26.482101,288173,52
2026-06-23T13:18:26.482127,288174,52
2026-06-23T13:18:26.492204,288175,52
2026-06-23T13:18:26.492252,288176,51
2026-06-23T13:18:26.492279,288177,51
2026-06-23T13:18:26.492305,288178,52
2026-06-23T13:18:26.492332,288179,51
2026-06-23T13:18:26.492358,288180,50
2026-06-23T13:18:26.492384,288181,51
2026-06-23T13:18:26.492409,288182,51
2026-06-23T13:18:26.492435,288182,51
2026-06-23T13:18:26.492460,288183,51
2026-06-23T13:18:26.492487,288184,50
2026-06-23T13:18:26.502670,288185,49
2026-06-23T13:18:26.502718,288186,49
2026-06-23T13:18:26.502747,288187,48
2026-06-23T13:18:26.502773,288188,48
2026-06-23T13:18:26.502800,288189,48
2026-06-23T13:18:26.502826,288190,48
2026-06-23T13:18:26.502851,288191,48
2026-06-23T13:18:26.502877,288192,48
2026-06-23T13:18:26.502903,288193,47
2026-06-23T13:18:26.502929,288194,47
2026-06-23T13:18:26.502954,288195,46
2026-06-23T13:18:26.513049,288196,46
2026-06-23T13:18:26.513083,288197,47
2026-06-23T13:18:26.513110,288198,47
2026-06-23T13:18:26.513137,288199,47
2026-06-23T13:18:26.513162,288200,46
2026-06-23T13:18:26.513188,288201,46
2026-06-23T13:18:26.513215,288202,46
2026-06-23T13:18:26.513257,288203,46
2026-06-23T13:18:26.513290,288203,46
2026-06-23T13:18:26.513318,288204,46
2026-06-23T13:18:26.523513,288205,45
2026-06-23T13:18:26.523563,288206,45
2026-06-23T13:18:26.523591,288207,44
2026-06-23T13:18:26.523618,288208,44
2026-06-23T13:18:26.523648,288209,44
2026-06-23T13:18:26.523674,288210,44
2026-06-23T13:18:26.523702,288211,43
2026-06-23T13:18:26.523728,288212,43
2026-06-23T13:18:26.523754,288213,43
2026-06-23T13:18:26.523780,288214,43
2026-06-23T13:18:26.523805,288215,44
2026-06-23T13:18:26.534049,288216,45
2026-06-23T13:18:26.534098,288217,45
2026-06-23T13:18:26.534125,288218,46
2026-06-23T13:18:26.534152,288219,47
2026-06-23T13:18:26.534180,288220,47
2026-06-23T13:18:26.534207,288221,51
2026-06-23T13:18:26.534233,288222,53
2026-06-23T13:18:26.534259,288223,55
2026-06-23T13:18:26.534285,288224,55
2026-06-23T13:18:26.534312,288224,56
2026-06-23T13:18:26.534339,288225,57
2026-06-23T13:18:26.544385,288226,57
2026-06-23T13:18:26.544419,288227,57
2026-06-23T13:18:26.544447,288228,58
2026-06-23T13:18:26.544472,288229,58
2026-06-23T13:18:26.544499,288230,58
2026-06-23T13:18:26.544526,288231,58
2026-06-23T13:18:26.544552,288232,57
2026-06-23T13:18:26.544579,288233,57
2026-06-23T13:18:26.544607,288234,57
2026-06-23T13:18:26.544633,288235,58
2026-06-23T13:18:26.544660,288236,57
2026-06-23T13:18:26.554848,288237,57
2026-06-23T13:18:26.554914,288238,57
2026-06-23T13:18:26.554945,288239,59
2026-06-23T13:18:26.554973,288240,60
2026-06-23T13:18:26.555000,288241,63
2026-06-23T13:18:26.555028,288242,64
2026-06-23T13:18:26.555055,288243,64
2026-06-23T13:18:26.555081,288244,63
2026-06-23T13:18:26.555107,288245,62
2026-06-23T13:18:26.555133,288246,62
2026-06-23T13:18:26.555159,288246,62
2026-06-23T13:18:26.565286,288247,64
2026-06-23T13:18:26.565342,288248,63
2026-06-23T13:18:26.565371,288249,63
2026-06-23T13:18:26.565399,288250,63
2026-06-23T13:18:26.565425,288251,65
2026-06-23T13:18:26.565452,288252,61
2026-06-23T13:18:26.565477,288253,61
2026-06-23T13:18:26.565504,288254,60
2026-06-23T13:18:26.565529,288255,60
2026-06-23T13:18:26.565555,288256,59
2026-06-23T13:18:26.565583,288257,59
2026-06-23T13:18:26.575760,288258,58
2026-06-23T13:18:26.575810,288259,58
2026-06-23T13:18:26.575839,288260,57
2026-06-23T13:18:26.575865,288261,56
2026-06-23T13:18:26.575891,288262,56
2026-06-23T13:18:26.575916,288263,56
2026-06-23T13:18:26.575942,288264,56
2026-06-23T13:18:26.575968,288265,56
2026-06-23T13:18:26.576004,288266,57
2026-06-23T13:18:26.576029,288267,57
2026-06-23T13:18:26.576055,288267,57
2026-06-23T13:18:26.586225,288268,57
2026-06-23T13:18:26.586272,288269,56
2026-06-23T13:18:26.586299,288270,56
2026-06-23T13:18:26.586326,288271,57
2026-06-23T13:18:26.586351,288272,57
2026-06-23T13:18:26.586377,288273,56
2026-06-23T13:18:26.586402,288274,56
2026-06-23T13:18:26.586427,288275,55
2026-06-23T13:18:26.586452,288276,54
2026-06-23T13:18:26.586478,288277,54
2026-06-23T13:18:26.586503,288278,53
2026-06-23T13:18:26.596641,288279,53
2026-06-23T13:18:26.596673,288280,53
2026-06-23T13:18:26.596700,288281,52
2026-06-23T13:18:26.596726,288282,52
2026-06-23T13:18:26.596751,288283,51
2026-06-23T13:18:26.596776,288284,52
2026-06-23T13:18:26.596802,288285,53
2026-06-23T13:18:26.596827,288286,53
2026-06-23T13:18:26.596852,288287,53
2026-06-23T13:18:26.596877,288288,53
2026-06-23T13:18:26.596906,288288,53
2026-06-23T13:18:26.607182,288289,53
2026-06-23T13:18:26.607327,288290,53
2026-06-23T13:18:26.607421,288291,53
2026-06-23T13:18:26.607512,288292,53
2026-06-23T13:18:26.607601,288293,52
2026-06-23T13:18:26.607689,288294,52
2026-06-23T13:18:26.607778,288295,52
2026-06-23T13:18:26.607868,288296,51
2026-06-23T13:18:26.607957,288297,51
2026-06-23T13:18:26.608046,288298,51
2026-06-23T13:18:26.608135,288299,51
2026-06-23T13:18:26.617589,288300,51
2026-06-23T13:18:26.617717,288301,51
2026-06-23T13:18:26.617796,288302,51
2026-06-23T13:18:26.617872,288303,51
2026-06-23T13:18:26.617947,288304,50
2026-06-23T13:18:26.618021,288305,50
2026-06-23T13:18:26.618095,288306,50
2026-06-23T13:18:26.618169,288307,50
2026-06-23T13:18:26.618242,288308,49
2026-06-23T13:18:26.618315,288309,49
2026-06-23T13:18:26.618389,288310,48
2026-06-23T13:18:26.627966,288310,49
2026-06-23T13:18:26.628038,288311,48
2026-06-23T13:18:26.628071,288312,48
2026-06-23T13:18:26.628097,288313,48
2026-06-23T13:18:26.628123,288314,48
2026-06-23T13:18:26.628149,288315,47
2026-06-23T13:18:26.628174,288316,47
2026-06-23T13:18:26.628200,288317,47
2026-06-23T13:18:26.628225,288318,46
2026-06-23T13:18:26.628250,288319,46
2026-06-23T13:18:26.638371,288320,46
2026-06-23T13:18:26.638434,288321,46
2026-06-23T13:18:26.638462,288322,46
2026-06-23T13:18:26.638492,288323,46
2026-06-23T13:18:26.638517,288324,46
2026-06-23T13:18:26.638543,288325,46
2026-06-23T13:18:26.638569,288326,46
2026-06-23T13:18:26.638595,288327,46
2026-06-23T13:18:26.638620,288328,45
2026-06-23T13:18:26.638646,288329,45
2026-06-23T13:18:26.638671,288330,45
2026-06-23T13:18:26.648875,288331,44
2026-06-23T13:18:26.649058,288331,44
2026-06-23T13:18:26.649145,288332,44
2026-06-23T13:18:26.649223,288333,44
2026-06-23T13:18:26.649298,288334,44
2026-06-23T13:18:26.649373,288335,44
2026-06-23T13:18:26.649479,288336,44
2026-06-23T13:18:26.649531,288337,44
2026-06-23T13:18:26.649562,288338,44
2026-06-23T13:18:26.649592,288339,44
2026-06-23T13:18:26.649620,288340,44
2026-06-23T13:18:26.659250,288341,43
2026-06-23T13:18:26.659324,288342,43
2026-06-23T13:18:26.659362,288343,42
2026-06-23T13:18:26.659402,288344,42
2026-06-23T13:18:26.659436,288345,42
2026-06-23T13:18:26.659471,288346,42
2026-06-23T13:18:26.659503,288347,42
2026-06-23T13:18:26.659538,288348,42
2026-06-23T13:18:26.659569,288349,42
2026-06-23T13:18:26.659605,288350,42
2026-06-23T13:18:26.659634,288351,42
2026-06-23T13:18:26.669715,288352,42
2026-06-23T13:18:26.669773,288353,43
2026-06-23T13:18:26.669800,288353,44
2026-06-23T13:18:26.669826,288354,45
2026-06-23T13:18:26.669851,288355,45
2026-06-23T13:18:26.669877,288356,44
2026-06-23T13:18:26.669903,288357,43
2026-06-23T13:18:26.669928,288358,44
2026-06-23T13:18:26.669954,288359,44
2026-06-23T13:18:26.669979,288360,43
2026-06-23T13:18:26.670005,288361,43
2026-06-23T13:18:26.680150,288362,43
2026-06-23T13:18:26.680189,288363,43
2026-06-23T13:18:26.680217,288364,43
2026-06-23T13:18:26.680244,288365,44
2026-06-23T13:18:26.680270,288366,45
2026-06-23T13:18:26.680296,288367,46
2026-06-23T13:18:26.680321,288368,46
2026-06-23T13:18:26.680361,288369,46
2026-06-23T13:18:26.680387,288370,46
2026-06-23T13:18:26.680412,288371,46
2026-06-23T13:18:26.680437,288372,47
2026-06-23T13:18:26.690570,288373,48
2026-06-23T13:18:26.690630,288374,50
2026-06-23T13:18:26.690660,288374,54
2026-06-23T13:18:26.690687,288375,58
2026-06-23T13:18:26.690713,288376,60
2026-06-23T13:18:26.690739,288377,60
2026-06-23T13:18:26.690764,288378,60
2026-06-23T13:18:26.690790,288379,61
2026-06-23T13:18:26.690816,288380,64
2026-06-23T13:18:26.690841,288381,68
2026-06-23T13:18:26.690866,288382,72
2026-06-23T13:18:26.701040,288383,74
2026-06-23T13:18:26.701084,288384,75
2026-06-23T13:18:26.701111,288385,75
2026-06-23T13:18:26.701137,288386,75
2026-06-23T13:18:26.701163,288387,76
2026-06-23T13:18:26.701189,288388,75
2026-06-23T13:18:26.701215,288389,75
2026-06-23T13:18:26.701240,288390,75
2026-06-23T13:18:26.701266,288391,77
2026-06-23T13:18:26.701309,288392,80
2026-06-23T13:18:26.701339,288393,84
2026-06-23T13:18:26.711624,288394,89
2026-06-23T13:18:26.711686,288395,91
2026-06-23T13:18:26.711716,288395,91
2026-06-23T13:18:26.711743,288396,90
2026-06-23T13:18:26.711770,288397,91
2026-06-23T13:18:26.711797,288398,94
2026-06-23T13:18:26.711824,288399,96
2026-06-23T13:18:26.711850,288400,97
2026-06-23T13:18:26.711875,288401,99
2026-06-23T13:18:26.711902,288402,101
2026-06-23T13:18:26.711930,288403,102
2026-06-23T13:18:26.721959,288404,100
2026-06-23T13:18:26.722022,288405,100
2026-06-23T13:18:26.722052,288406,101
2026-06-23T13:18:26.722081,288407,100
2026-06-23T13:18:26.722106,288408,99
2026-06-23T13:18:26.722133,288409,98
2026-06-23T13:18:26.722158,288410,96
2026-06-23T13:18:26.722184,288411,94
2026-06-23T13:18:26.722209,288412,93
2026-06-23T13:18:26.722234,288413,92
2026-06-23T13:18:26.732354,288414,93
2026-06-23T13:18:26.732387,288415,96
2026-06-23T13:18:26.732416,288416,100
2026-06-23T13:18:26.732444,288417,105
2026-06-23T13:18:26.732471,288418,108
2026-06-23T13:18:26.732499,288419,107
2026-06-23T13:18:26.732526,288420,108
2026-06-23T13:18:26.732553,288421,112
2026-06-23T13:18:26.732580,288422,116
2026-06-23T13:18:26.732607,288423,121
2026-06-23T13:18:26.742813,288424,125
2026-06-23T13:18:26.742859,288425,125
2026-06-23T13:18:26.742886,288426,124
2026-06-23T13:18:26.742914,288428,126
2026-06-23T13:18:26.742941,288429,129
2026-06-23T13:18:26.742968,288430,129
2026-06-23T13:18:26.742995,288431,132
2026-06-23T13:18:26.743022,288432,131
2026-06-23T13:18:26.743048,288433,130
2026-06-23T13:18:26.743075,288434,128
2026-06-23T13:18:26.753315,288435,127
2026-06-23T13:18:26.753357,288436,125
2026-06-23T13:18:26.753387,288437,122
2026-06-23T13:18:26.753413,288438,120
2026-06-23T13:18:26.753440,288439,118
2026-06-23T13:18:26.753467,288440,116
2026-06-23T13:18:26.753494,288441,114
2026-06-23T13:18:26.753521,288442,112
2026-06-23T13:18:26.753548,288443,110
2026-06-23T13:18:26.753574,288444,109
2026-06-23T13:18:26.763681,288445,107
2026-06-23T13:18:26.763714,288446,105
2026-06-23T13:18:26.763741,288447,104
2026-06-23T13:18:26.763769,288448,103
2026-06-23T13:18:26.763795,288449,101
2026-06-23T13:18:26.763823,288450,100
2026-06-23T13:18:26.763847,288452,99
2026-06-23T13:18:26.763873,288452,99
2026-06-23T13:18:26.763898,288453,97
2026-06-23T13:18:26.763924,288454,96
2026-06-23T13:18:26.763948,288455,95
2026-06-23T13:18:26.774158,288456,95
2026-06-23T13:18:26.774193,288457,94
2026-06-23T13:18:26.774219,288458,93
2026-06-23T13:18:26.774244,288459,92
2026-06-23T13:18:26.774269,288460,90
2026-06-23T13:18:26.774295,288461,90
2026-06-23T13:18:26.774320,288462,88
2026-06-23T13:18:26.774345,288463,87
2026-06-23T13:18:26.774370,288464,86
2026-06-23T13:18:26.774395,288465,86
2026-06-23T13:18:26.774420,288466,86
2026-06-23T13:18:26.784593,288467,86
2026-06-23T13:18:26.784647,288468,86
2026-06-23T13:18:26.784673,288469,85
2026-06-23T13:18:26.784699,288470,84
